,Region,State,Area,City,Consumer_profile,Product_category,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud
247,South,Tamil Nadu,Urban,Chennai,Business,Household,AC,2,0,0,0,0,0,5000,15,152,Dealer,18,Claim,0
248,South,Tamil Nadu,Urban,Chennai,Personal,Household,AC,1,1,1,0,0,0,6000,15,280,Dealer,21,Complaint,0
249,South,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,0,15,213,Manufacturer,2,Complaint,0
250,South,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,2,0,0,5000,15,254,Dealer,9,Claim,0
251,South,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,1,0,0,2000,15,39,Dealer,11,Claim,0
252,South,Tamil Nadu,Urban,Chennai,Personal,Household,AC,1,1,0,0,0,0,4000,15,36,Internet,5,Complaint,0
253,South,Tamil Nadu,Urban,Chennai,Personal,Household,AC,2,2,1,0,0,0,12000,15,233,Manufacturer,21,Claim,0
254,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,1,2,0,0,0,0,7000,12,247,Internet,18,Complaint,0
255,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,0,1,0,2000,12,30,Dealer,8,Claim,0
256,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,0,1,0,0,0,0,2000,12,350,Internet,18,Complaint,0
257,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,1,0,0,2000,12,205,Manufacturer,24,Complaint,0
258,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,2,2,2,0,0,0,15000,12,311,Dealer,4,Claim,0
259,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,2,1,0,7000,12,280,Internet,19,Claim,0
260,South East,Orissa,Urban,Bhubaneswar,Business,Household,AC,1,1,0,0,0,0,4000,12,233,Dealer,6,Complaint,0
261,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,1,0,1,4000,12,324,Manufacturer,19,Claim,0
262,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,2,2,2,0,0,0,15000,12,22,Dealer,23,Claim,0
263,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,1,1,0,4000,12,282,Internet,15,Complaint,0
264,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,1,1,0,0,0,0,4000,12,347,Internet,6,Claim,0
265,South East,Orissa,Urban,Bhubaneswar,Business,Entertainment,TV,0,0,0,1,0,0,2000,12,274,Manufacturer,11,Claim,0
266,South East,Orissa,Urban,Bhubaneswar,Business,Household,AC,1,2,0,0,0,0,7000,12,193,Dealer,7,Claim,0
267,South East,Orissa,Urban,Bhubaneswar,Business,Household,AC,2,2,2,0,0,0,15000,12,197,Internet,4,Claim,0
268,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,2,1,0,7000,12,32,Manufacturer,14,Claim,0
269,South East,Orissa,Urban,Bhubaneswar,Personal,Entertainment,TV,0,0,0,1,0,0,2000,12,365,Internet,5,Complaint,0
270,South East,Orissa,Urban,Bhubaneswar,Personal,Household,AC,0,1,0,0,0,0,2000,12,61,Dealer,24,Claim,0
271,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,1,1,0,0,0,0,4000,15,170,Manufacturer,19,Claim,0
272,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,2,2,2,0,0,0,15000,15,303,Internet,7,Complaint,0
273,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,2,1,0,7000,15,330,Dealer,8,Claim,0
274,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,1,1,0,0,0,0,4000,15,79,Dealer,7,Claim,0
275,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,1,0,1,4000,15,26,Manufacturer,23,Complaint,0
276,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,2,0,0,0,0,0,5000,15,45,Internet,24,Claim,0
277,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,2,1,0,7000,15,287,Dealer,1,Claim,0
278,South,Andhra Pradesh,Urban,Vijayawada,Business,Household,AC,1,0,0,0,0,0,2000,15,224,Manufacturer,23,Complaint,0
279,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,2,0,0,5000,15,275,Internet,21,Claim,0
280,South,Andhra Pradesh,Urban,Vijayawada,Business,Household,AC,2,0,0,0,0,0,5000,15,315,Dealer,3,Claim,0
281,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,1,1,1,6000,15,301,Manufacturer,3,Complaint,0
282,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,1,0,0,0,0,0,2000,15,356,Internet,13,Claim,0
283,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,1,0,0,2000,15,301,Dealer,18,Claim,0
284,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,1,2,0,0,0,0,7000,15,333,Internet,24,Complaint,0
285,South,Andhra Pradesh,Urban,Vijayawada,Personal,Entertainment,TV,0,0,0,0,1,1,4000,15,103,Manufacturer,16,Claim,0
286,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,2,0,0,0,0,0,5000,10,288,Dealer,18,Claim,0
287,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,0,0,0,0,10,125,Internet,1,Complaint,0
288,North East,Uttar Pradesh,Urban,Lucknow,Business,Household,AC,1,0,0,0,0,0,2000,10,148,Manufacturer,24,Claim,1
289,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,2,0,0,5000,10,291,Dealer,1,Claim,0
290,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,1,0,0,0,0,0,2000,10,180,Internet,22,Complaint,0
291,North East,Uttar Pradesh,Urban,Lucknow,Business,Entertainment,TV,0,0,0,1,1,0,4000,10,81,Internet,21,Claim,0
292,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,1,0,0,2000,10,46,Manufacturer,8,Claim,0
293,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,2,0,0,0,0,0,5000,10,147,Dealer,22,Complaint,0
294,North East,Uttar Pradesh,Urban,Lucknow,Business,Household,AC,1,0,0,0,0,0,2000,10,159,Dealer,3,Claim,0
295,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,1,1,0,4000,10,287,Manufacturer,15,Claim,0
296,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,2,0,0,0,0,0,5000,10,271,Dealer,2,Complaint,0
297,North East,Uttar Pradesh,Urban,Lucknow,Business,Household,AC,2,2,0,0,0,0,10000,10,206,Dealer,17,Claim,0
298,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,1,0,0,0,0,0,2000,10,300,Manufacturer,14,Complaint,0
299,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,2,0,0,0,0,0,5000,10,257,Internet,25,Claim,0
300,North East,Uttar Pradesh,Urban,Lucknow,Business,Household,AC,1,1,0,0,0,0,4000,10,131,Dealer,1,Claim,0
301,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,0,0,0,0,10,340,Manufacturer,10,Claim,0
302,North East,Uttar Pradesh,Urban,Lucknow,Personal,Entertainment,TV,0,0,0,2,0,0,5000,10,345,Dealer,2,Complaint,0
303,North East,Uttar Pradesh,Urban,Lucknow,Business,Entertainment,TV,0,0,0,2,1,1,9000,10,276,Dealer,8,Claim,0
304,North East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,2,0,0,0,0,0,5000,10,171,Manufacturer,4,Claim,0
305,North East,West Bengal,Urban,Kolkata,Personal,Entertainment,TV,0,0,0,1,0,0,2000,10,299,Dealer,9,Complaint,0
306,North East,West Bengal,Urban,Kolkata,Personal,Household,AC,1,1,0,0,0,0,4000,10,335,Dealer,14,Claim,0
307,North East,West Bengal,Urban,Kolkata,Personal,Household,AC,1,0,0,0,0,0,2000,10,21,Manufacturer,24,Claim,0
308,North East,West Bengal,Urban,Kolkata,Personal,Household,AC,2,0,0,0,0,0,5000,10,55,Dealer,21,Claim,0
309,North East,West Bengal,Urban,Kolkata,Personal,Household,AC,1,0,0,0,0,0,2000,10,212,Dealer,4,Complaint,0
310,North East,West Bengal,Urban,Kolkata,Personal,Household,AC,2,0,0,0,0,0,5000,10,190,Manufacturer,6,Claim,0
311,North East,West Bengal,Urban,Kolkata,Personal,Entertainment,TV,0,0,0,0,1,1,4000,10,275,Dealer,11,Claim,0
312,North East,West Bengal,Urban,Kolkata,Business,Household,AC,1,2,0,0,0,0,7000,10,151,Dealer,19,Complaint,0
313,North East,West Bengal,Urban,Kolkata,Business,Entertainment,TV,0,0,0,0,1,1,4000,10,153,Internet,22,Claim,0
314,North East,West Bengal,Urban,Kolkata,Business,Entertainment,TV,0,0,0,2,1,1,9000,10,160,Manufacturer,19,Claim,0
315,South,Karnataka,Urban,Bangalore,Business,Entertainment,TV,0,0,0,1,1,1,15000,10,60,Manufacturer,0.5,Complaint,1
316,West,Rajasthan,Rural,Jaipur,Business,Household,AC,0,0,0,0,0,0,10000,12,10,Dealer,1,Claim,0
317,East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,0,1,1,0,0,0,50000,13,12,Manufacturer,1.5,Claim,1
318,North,Delhi,Urban,New Delhi,Personal,Household,AC,0,1,0,0,0,0,20000,15,15,Manufacturer,2.5,Claim,0
319,North East,Jharkhand,Rural,Ranchi,Personal,Entertainment,TV,0,0,0,0,0,0,25000,15,6,Dealer,1.3,Complaint,0
320,North West,Kerala,Urban,Kochi,Personal,Entertainment,TV,0,0,0,0,0,0,12000,14,3,Internet,1.4,Complaint,0
321,South East,Tamil Nadu,Urban,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,15000,12,4,Manufacturer,1.6,Complaint,1
325,East,Bihar,Rural,Patna,Personal,Household,AC,0,0,0,0,0,0,25000,13,4,Dealer,0.5,Complaint,0
327,North East,Gujarat,Rural,Vadodara,Personal,Household,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Complaint,0
328,North West,Karnataka,Urban,Bangalore,Personal,Entertainment,TV,0,0,0,1,1,1,10000,14,9,Dealer,2.5,Claim,0
331,South,Delhi,Urban,New Delhi,Business,Entertainment,TV,0,0,0,0,0,0,25000,10,18,Dealer,1.6,Complaint,0
332,West,Andhra Pradesh,Urban,Hyderabad,Business,Household,AC,0,0,0,0,0,0,12000,12,60,Internet,2.6,Complaint,0
333,East,Gujarat,Rural,Vadodara,Personal,Entertainment,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Complaint,0
334,North,Andhra Pradesh,Rural,Hyderabad,Personal,Household,AC,0,0,2,0,0,0,10000,15,12,Dealer,6.5,Claim,0
338,South West,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,1,1,1,12000,13,4,Internet,2.5,Complaint,0
339,South,Delhi,Rural,New Delhi,Business,Entertainment,TV,0,0,0,0,0,0,15000,10,5,Manufacturer,1.3,Complaint,1
341,East,Karnataka,Urban,Bangalore,Personal,Household,AC,0,0,0,0,0,0,50000,13,7,Manufacturer,1.6,Claim,1
343,North East,Delhi,Urban,New Delhi,Personal,Household,AC,0,0,0,0,0,0,25000,15,21,Dealer,2.4,Complaint,0
344,North West,Delhi,Urban,New Delhi,Personal,Household,AC,0,0,0,0,0,0,12000,14,16,Internet,6.5,Complaint,0
345,South East,Kerala,Urban,Kochi,Business,Household,AC,0,0,0,0,0,0,15000,12,9,Manufacturer,0.5,Complaint,0
347,South,Bihar,Urban,Purnea,Business,Entertainment,TV,0,0,0,0,1,0,50000,10,14,Manufacturer,1.5,Claim,0
348,West,Maharashtra,Rural,Mumbai,Business,Entertainment,TV,0,0,0,0,2,0,20000,12,18,Manufacturer,2.5,Claim,1
350,North,Bihar,Urban,Purnea,Personal,Household,AC,0,1,1,0,0,0,0,15,10,Internet,1.4,Complaint,0
353,South East,Maharashtra,Urban,Mumbai,Business,Household,AC,0,0,0,0,0,0,50000,12,6,Manufacturer,2.4,Claim,0
354,South West,Kerala,Rural,Kochi,Business,Household,AC,0,0,0,0,0,0,20000,13,3,Manufacturer,6.5,Claim,0
357,East,Maharashtra,Urban,Mumbai,Personal,Entertainment,TV,0,0,0,0,0,0,15000,13,18,Manufacturer,1.5,Complaint,0
360,North West,Maharashtra,Urban,Mumbai,Personal,Entertainment,TV,0,0,0,0,2,0,20000,14,21,Manufacturer,1.4,Claim,0
363,South,Kerala,Rural,Kochi,Business,Household,AC,0,0,0,0,0,0,15000,10,19,Manufacturer,2.4,Other,1
365,East,Andhra Pradesh,Urban,Hyderabad,Personal,Entertainment,TV,0,0,0,0,0,2,50000,13,18,Manufacturer,0.5,Complaint,1
366,North,Maharashtra,Rural,Pune,Personal,Entertainment,TV,0,0,0,0,0,1,20000,15,60,Manufacturer,1,Claim,1
367,North East,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,0,0,2,25000,15,10,Dealer,1.5,Claim,0
368,North West,Gujarat,Urban,Vadodara,Personal,Household,AC,0,0,0,0,0,0,12000,14,12,Internet,2.5,Claim,0
369,South East,Kerala,Rural,Kochi,Business,Entertainment,TV,0,0,0,0,0,2,15000,12,15,Manufacturer,1.3,Complaint,0
370,South West,Andhra Pradesh,Urban,Hyderabad,Business,Household,AC,0,0,0,0,0,0,10000,13,6,Dealer,1.4,Complaint,0
372,West,Gujarat,Urban,Vadodara,Business,Household,AC,0,0,0,0,0,0,20000,12,4,Manufacturer,2.6,Claim,0
373,East,Andhra Pradesh,Urban,Hyderabad,Personal,Entertainment,TV,0,0,0,0,0,0,25000,13,5,Dealer,2.4,Claim,0
374,North,Maharashtra,Rural,Pune,Personal,Entertainment,TV,0,0,0,0,0,0,12000,15,18,Internet,6.5,Complaint,0
375,North East,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,15000,15,7,Manufacturer,0.5,Claim,0
376,North West,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,10000,14,4,Dealer,1,Complaint,0
377,South East,Bihar,Rural,Patna,Business,Household,AC,0,0,0,0,0,0,50000,12,21,Manufacturer,1.5,Complaint,0
378,South West,Maharashtra,Urban,Pune,Business,Entertainment,TV,0,0,0,0,0,0,20000,13,16,Manufacturer,2.5,Other,1
379,South,Maharashtra,Rural,Pune,Business,Household,AC,0,0,0,0,0,0,25000,10,9,Dealer,1.3,Other,0
380,West,Bihar,Urban,Patna,Business,Household,AC,0,0,0,0,0,0,12000,12,19,Internet,1.4,Complaint,0
381,East,Kerala,Urban,Kochi,Personal,Household,AC,0,0,0,0,0,0,15000,13,14,Manufacturer,1.6,Claim,1
382,North,Andhra Pradesh,Urban,Hyderabad,Personal,Entertainment,TV,0,0,0,1,1,1,10000,15,18,Dealer,2.6,Claim,0
383,North East,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,1,1,1,50000,15,60,Manufacturer,2.4,Claim,1
384,North West,Gujarat,Rural,Ahmedabad,Personal,Entertainment,TV,0,0,0,1,1,1,20000,14,10,Manufacturer,6.5,Complaint,0
385,South East,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,25000,12,12,Dealer,0.5,Complaint,0
386,South West,Delhi,Rural,New Delhi,Business,Household,AC,0,0,0,0,0,0,12000,13,15,Internet,1,Claim,0
387,South,Kerala,Urban,Kochi,Business,Entertainment,TV,0,0,0,0,0,0,15000,10,6,Manufacturer,1.5,Claim,0
388,West,Andhra Pradesh,Rural,Hyderabad,Business,Household,AC,0,0,0,0,0,0,10000,12,3,Dealer,2.5,Claim,0
389,East,Tamil Nadu,Rural,Chennai,Personal,Household,AC,0,0,0,0,0,0,50000,13,4,Manufacturer,1.3,Complaint,0
390,North,Kerala,Rural,Kochi,Personal,Household,AC,0,0,0,0,0,0,20000,15,5,Manufacturer,1.4,Claim,0
391,North East,Maharashtra,Urban,Pune,Personal,Entertainment,TV,0,0,0,0,0,0,25000,15,18,Dealer,1.6,Complaint,0
392,North West,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,12000,14,7,Internet,2.6,Complaint,0
393,South East,Kerala,Urban,Kochi,Business,Entertainment,TV,0,0,0,0,0,0,15000,12,4,Manufacturer,2.4,Other,0
394,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,10000,13,21,Dealer,6.5,Other,0
395,South,Bihar,Urban,Purnea,Business,Household,AC,0,0,0,0,0,0,50000,10,16,Manufacturer,0.5,Complaint,0
396,West,Kerala,Urban,Kochi,Business,Entertainment,TV,0,0,0,0,0,0,20000,12,9,Manufacturer,1,Claim,0
397,East,Tamil Nadu,Urban,Chennai,Personal,Household,AC,0,0,0,0,0,0,25000,13,19,Dealer,1.5,Claim,0
398,North,Gujarat,Rural,Vadodara,Personal,Household,AC,1,1,1,0,0,0,12000,15,14,Internet,2.5,Claim,0
399,North East,Andhra Pradesh,Urban,Hyderabad,Personal,Household,AC,1,1,1,0,0,0,15000,15,18,Manufacturer,1.3,Complaint,0
400,North West,Kerala,Urban,Kochi,Personal,Entertainment,TV,0,0,0,0,0,0,10000,14,60,Dealer,1.4,Complaint,0
401,South East,Maharashtra,Rural,Pune,Business,Entertainment,TV,0,0,0,0,0,0,50000,12,10,Manufacturer,1.6,Claim,0
402,South West,Tamil Nadu,Urban,Chennai,Business,Entertainment,TV,0,0,0,0,0,0,20000,13,12,Manufacturer,2.6,Claim,0
403,South,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,25000,10,15,Dealer,2.4,Claim,0
404,West,Bihar,Rural,Purnea,Business,Household,AC,0,0,0,0,0,0,12000,12,6,Internet,6.5,Complaint,0
405,East,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,15000,13,3,Manufacturer,0.5,Complaint,0
406,North,Andhra Pradesh,Urban,Hyderabad,Personal,Household,AC,0,0,0,0,0,0,10000,15,4,Dealer,1,Other,0
407,North East,Kerala,Urban,Kochi,Personal,Household,AC,0,0,0,0,0,0,50000,15,5,Manufacturer,1.5,Other,0
408,North West,Kerala,Urban,Kochi,Personal,Household,AC,0,0,0,0,0,0,20000,14,18,Manufacturer,2.5,Other,0
409,South East,Gujarat,Urban,Ahmedabad,Business,Entertainment,TV,0,0,0,0,0,0,25000,12,7,Dealer,1.3,Other,0
410,South West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,12000,13,4,Internet,1.4,Other,0
411,South,Tamil Nadu,Rural,Chennai,Business,Entertainment,TV,0,0,0,0,0,0,15000,10,21,Manufacturer,1.6,Other,0
412,West,Andhra Pradesh,Urban,Hyderabad,Business,Entertainment,TV,0,0,0,0,0,0,10000,12,16,Dealer,2.6,Other,0
413,East,Kerala,Rural,Kochi,Personal,Household,AC,0,0,0,0,0,0,50000,13,9,Manufacturer,2.4,Other,0
414,North,Gujarat,Rural,Ahmedabad,Personal,Entertainment,TV,0,0,0,0,0,1,20000,15,19,Manufacturer,6.5,Other,0
11328,East,Tamil Nadu,Rural,Chennai,Personal,Entertainment,TV,0,0,0,0,0,0,0,13,3,Manufacturer,0.5,Complaint,0
11522,North East,Gujarat,Rural,Ahmedabad,Personal,Entertainment,TV,0,0,0,1,1,1,0,15,12,Manufacturer,1.6,Complaint,0
11682,South,Tamil Nadu,Urban,Chennai,Personal,Entertainment,TV,0,0,0,2,0,0,0,15,254,Dealer,9,Claim,0
11685,East,Uttar Pradesh,Urban,Lucknow,Personal,Household,AC,1,1,1,0,0,0,50000,13,12,Manufacturer,1.5,Claim,1
11797,South,Andhra Pradesh,Urban,Vijayawada,Personal,Household,AC,2,2,2,0,0,0,0,15,303,Internet,7,Complaint,0
